dataset,agent,variant,seed,horizon,n_eval_episodes,n_eval_steps,A_Rwd,T_Rwd,Liking_pct,error
ml1m,a2c,baseline_vote,0,10,224,2240,9.526785714285714,2134.0,95.26785714285714,
ml1m,a2c,naive_continuous,0,10,224,2240,9.678571428571429,2168.0,96.78571428571429,
ml1m,a2c,ug_mors,0,10,224,2240,9.5625,2142.0,95.625,
ml1m,a2c,ug_mors_fixed,0,10,224,2240,9.629464285714286,2157.0,96.29464285714285,
ml1m,a2c,ug_mors_no_div,0,10,224,2240,9.517857142857142,2132.0,95.17857142857142,
ml1m,a2c,ug_mors_no_per,0,10,224,2240,9.616071428571429,2154.0,96.16071428571429,
ml1m,a2c,ug_mors_no_ret,0,10,224,2240,9.65625,2163.0,96.5625,
ml1m,a2c,ug_pbrs,0,10,224,2240,9.584821428571429,2147.0,95.84821428571428,
ml1m,dqn,baseline_vote,0,10,224,2240,8.915178571428571,1997.0,89.15178571428571,
ml1m,dqn,naive_continuous,0,10,224,2240,9.660714285714286,2164.0,96.60714285714286,
ml1m,dqn,ug_mors,0,10,224,2240,9.700892857142858,2173.0,97.00892857142858,
ml1m,dqn,ug_mors_fixed,0,10,224,2240,9.651785714285714,2162.0,96.51785714285714,
ml1m,dqn,ug_mors_no_div,0,10,224,2240,9.575892857142858,2145.0,95.75892857142857,
ml1m,dqn,ug_mors_no_per,0,10,224,2240,9.741071428571429,2182.0,97.41071428571428,
ml1m,dqn,ug_mors_no_ret,0,10,224,2240,9.65625,2163.0,96.5625,
ml1m,dqn,ug_pbrs,0,10,224,2240,8.933035714285714,2001.0,89.33035714285714,
ml1m,ppo,baseline_vote,0,10,224,2240,8.959821428571429,2007.0,89.59821428571428,
ml1m,ppo,naive_continuous,0,10,224,2240,9.366071428571429,2098.0,93.66071428571429,
ml1m,ppo,ug_mors,0,10,224,2240,9.325892857142858,2089.0,93.25892857142857,
ml1m,ppo,ug_mors_fixed,0,10,224,2240,9.258928571428571,2074.0,92.58928571428572,
ml1m,ppo,ug_mors_no_div,0,10,224,2240,9.348214285714286,2094.0,93.48214285714286,
ml1m,ppo,ug_mors_no_per,0,10,224,2240,9.392857142857142,2104.0,93.92857142857143,
ml1m,ppo,ug_mors_no_ret,0,10,224,2240,9.330357142857142,2090.0,93.30357142857143,
ml1m,ppo,ug_pbrs,0,10,224,2240,8.767857142857142,1964.0,87.67857142857143,
ml1m,trpo,baseline_vote,0,10,224,2240,8.758928571428571,1962.0,87.58928571428571,
ml1m,trpo,naive_continuous,0,10,224,2240,8.897321428571429,1993.0,88.97321428571429,
ml1m,trpo,ug_mors,0,10,224,2240,8.705357142857142,1950.0,87.05357142857143,
ml1m,trpo,ug_mors_fixed,0,10,224,2240,8.741071428571429,1958.0,87.41071428571429,
ml1m,trpo,ug_mors_no_div,0,10,224,2240,8.754464285714286,1961.0,87.54464285714286,
ml1m,trpo,ug_mors_no_per,0,10,224,2240,8.741071428571429,1958.0,87.41071428571429,
ml1m,trpo,ug_mors_no_ret,0,10,224,2240,8.517857142857142,1908.0,85.17857142857143,
ml1m,trpo,ug_pbrs,0,10,224,2240,8.861607142857142,1985.0,88.61607142857143,
videogames,a2c,baseline_vote,0,10,224,2240,9.459821428571429,2119.0,94.59821428571429,
videogames,a2c,naive_continuous,0,10,224,2240,9.723214285714286,2178.0,97.23214285714286,
videogames,a2c,ug_mors,0,10,224,2240,9.727678571428571,2179.0,97.27678571428572,
videogames,a2c,ug_pbrs,0,10,224,2240,9.696428571428571,2172.0,96.96428571428571,
videogames,dqn,baseline_vote,0,10,224,2240,8.058035714285714,1805.0,80.58035714285714,
videogames,dqn,naive_continuous,0,10,224,2240,9.464285714285714,2120.0,94.64285714285714,
videogames,dqn,ug_mors,0,10,224,2240,9.602678571428571,2151.0,96.02678571428571,
videogames,dqn,ug_mors_fixed,0,10,224,2240,9.6875,2170.0,96.875,
videogames,dqn,ug_mors_no_div,0,10,224,2240,9.665178571428571,2165.0,96.65178571428571,
videogames,dqn,ug_mors_no_per,0,10,224,2240,9.714285714285714,2176.0,97.14285714285714,
videogames,dqn,ug_mors_no_ret,0,10,224,2240,9.571428571428571,2144.0,95.71428571428572,
videogames,dqn,ug_pbrs,0,10,224,2240,8.727678571428571,1955.0,87.27678571428571,
videogames,ppo,baseline_vote,0,10,224,2240,8.910714285714286,1996.0,89.10714285714286,
videogames,ppo,naive_continuous,0,10,224,2240,8.178571428571429,1832.0,81.78571428571428,
videogames,ppo,ug_mors,0,10,224,2240,8.901785714285714,1994.0,89.01785714285714,
videogames,ppo,ug_mors_fixed,0,10,224,2240,7.638392857142857,1711.0,76.38392857142857,
videogames,ppo,ug_mors_no_div,0,10,224,2240,8.723214285714286,1954.0,87.23214285714286,
videogames,ppo,ug_mors_no_per,0,10,224,2240,8.651785714285714,1938.0,86.51785714285715,
videogames,ppo,ug_pbrs,0,10,224,2240,8.629464285714286,1933.0,86.29464285714286,
videogames,trpo,baseline_vote,0,10,224,2240,7.955357142857143,1782.0,79.55357142857142,
videogames,trpo,naive_continuous,0,10,224,2240,7.955357142857143,1782.0,79.55357142857142,
videogames,trpo,ug_mors,0,10,224,2240,8.133928571428571,1822.0,81.33928571428571,
videogames,trpo,ug_pbrs,0,10,224,2240,7.839285714285714,1756.0,78.39285714285714,
yelp,a2c,baseline_vote,0,10,224,2240,8.973214285714286,2010.0,89.73214285714286,
yelp,a2c,naive_continuous,0,10,224,2240,9.526785714285714,2134.0,95.26785714285714,
yelp,a2c,ug_mors,0,10,224,2240,9.517857142857142,2132.0,95.17857142857142,
yelp,a2c,ug_pbrs,0,10,224,2240,9.669642857142858,2166.0,96.69642857142857,
yelp,dqn,baseline_vote,0,10,224,2240,8.491071428571429,1902.0,84.91071428571428,
yelp,dqn,naive_continuous,0,10,224,2240,8.933035714285714,2001.0,89.33035714285714,
yelp,dqn,ug_mors,0,10,224,2240,9.1875,2058.0,91.875,
yelp,dqn,ug_pbrs,0,10,224,2240,9.111607142857142,2041.0,91.11607142857143,
yelp,ppo,baseline_vote,0,10,224,2240,8.794642857142858,1970.0,87.94642857142857,
yelp,ppo,naive_continuous,0,10,224,2240,9.446428571428571,2116.0,94.46428571428571,
yelp,ppo,ug_mors,0,10,224,2240,9.178571428571429,2056.0,91.78571428571428,
yelp,ppo,ug_pbrs,0,10,224,2240,8.799107142857142,1971.0,87.99107142857143,
yelp,trpo,baseline_vote,0,10,224,2240,8.558035714285714,1917.0,85.58035714285714,
yelp,trpo,naive_continuous,0,10,224,2240,9.174107142857142,2055.0,91.74107142857143,
yelp,trpo,ug_mors,0,10,224,2240,7.727678571428571,1731.0,77.27678571428571,
yelp,trpo,ug_pbrs,0,10,224,2240,8.004464285714286,1793.0,80.04464285714286,
